Lookup_type	ID	Human_value	extra_info
districtId	890	Huyện Tịnh Biên	
districtId	891	Huyện Tri Tôn	
districtId	892	Huyện Châu Thành	
districtId	893	Huyện Chợ Mới	
districtId	894	Huyện Thoại Sơn	
districtId	899	Thành phố Rạch Giá	
districtId	900	Thị xã Hà Tiên	
districtId	902	Huyện Kiên Lương	
districtId	903	Huyện Hòn Đất	
districtId	904	Huyện Tân Hiệp	
districtId	905	Huyện Châu Thành	
districtId	906	Huyện Giồng Riềng	
districtId	907	Huyện Gò Quao	
districtId	908	Huyện An Biên	
districtId	909	Huyện An Minh	
districtId	910	Huyện Vĩnh Thuận	
districtId	911	Huyện Phú Quốc	
districtId	912	Huyện Kiên Hải	
districtId	913	Huyện U Minh Thượng	
districtId	914	Huyện Giang Thành	
districtId	916	Quận Ninh Kiều	
districtId	917	Quận Ô Môn	
districtId	918	Quận Bình Thuỷ	
districtId	919	Quận Cái Răng	
districtId	923	Quận Thốt Nốt	
districtId	924	Huyện Vĩnh Thạnh	
districtId	925	Huyện Cờ Đỏ	
districtId	926	Huyện Phong Điền	
districtId	927	Huyện Thới Lai	
districtId	930	Thành phố Vị Thanh	
districtId	931	Thị xã Ngã Bảy	
districtId	932	Huyện Châu Thành A	
districtId	933	Huyện Châu Thành	
districtId	934	Huyện Phụng Hiệp	
districtId	935	Huyện Vị Thuỷ	
districtId	936	Huyện Long Mỹ	
districtId	937	Thị xã Long Mỹ	
districtId	944	Huyện Mỹ Tú	
districtId	945	Huyện Cù Lao Dung	
districtId	946	Huyện Long Phú	
districtId	947	Huyện Mỹ Xuyên	
districtId	948	Thị xã Ngã Năm	
districtId	949	Huyện Thạnh Trị	
districtId	950	Thị xã Vĩnh Châu	
districtId	951	Huyện Trần Đề	
districtId	941	Thành phố Sóc Trăng	
districtId	942	Huyện Châu Thành	
districtId	943	Huyện Kế Sách	
districtId	960	Huyện Đông Hải	
districtId	961	Huyện Hoà Bình	
districtId	954	Thành phố Bạc Liêu	
districtId	956	Huyện Hồng Dân	
districtId	957	Huyện Phước Long	
districtId	958	Huyện Vĩnh Lợi	
districtId	959	Thị xã Giá Rai	
districtId	964	Thành phố Cà Mau	
districtId	966	Huyện U Minh	
districtId	967	Huyện Thới Bình	
districtId	968	Huyện Trần Văn Thời	
districtId	969	Huyện Cái Nước	
districtId	970	Huyện Đầm Dơi	
districtId	971	Huyện Năm Căn	
districtId	972	Huyện Phú Tân	
districtId	973	Huyện Ngọc Hiển	
provinceId	1	Hà Nội	
provinceId	2	Hà Giang	
provinceId	4	Cao Bằng	
provinceId	6	Bắc Kạn	
provinceId	8	Tuyên Quang	
provinceId	10	Lào Cai	
provinceId	11	Điện Biên	
provinceId	12	Lai Châu	
provinceId	14	Sơn La	
provinceId	15	Yên Bái	
provinceId	17	Hoà Bình	
provinceId	19	Thái Nguyên	
provinceId	20	Lạng Sơn	
provinceId	22	Quảng Ninh	
provinceId	24	Bắc Giang	
provinceId	25	Phú Thọ	
provinceId	26	Vĩnh Phúc	
provinceId	27	Bắc Ninh	
provinceId	30	Hải Dương	
provinceId	31	Hải Phòng	
provinceId	33	Hưng Yên	
provinceId	34	Thái Bình	
provinceId	35	Hà Nam	
provinceId	36	Nam Định	
provinceId	37	Ninh Bình	
provinceId	38	Thanh Hóa	
provinceId	40	Nghệ An	
provinceId	42	Hà Tĩnh	
provinceId	44	Quảng Bình	
provinceId	45	Quảng Trị	
provinceId	46	Thừa Thiên Huế	
provinceId	48	Đà Nẵng	
provinceId	49	Quảng Nam	
provinceId	51	Quảng Ngãi	
provinceId	52	Bình Định	
provinceId	54	Phú Yên	
provinceId	56	Khánh Hòa	
provinceId	58	Ninh Thuận	
provinceId	60	Bình Thuận	
provinceId	62	Kon Tum	
provinceId	64	Gia Lai	
provinceId	66	Đắk Lắk	
provinceId	67	Đắk Nông	
provinceId	68	Lâm Đồng	
provinceId	70	Bình Phước	
provinceId	72	Tây Ninh	
provinceId	74	Bình Dương	
provinceId	75	Đồng Nai	
provinceId	77	Bà Rịa - Vũng Tàu	
provinceId	79	Hồ Chí Minh	
provinceId	80	Long An	
provinceId	82	Tiền Giang	
provinceId	83	Bến Tre	
provinceId	84	Trà Vinh	
provinceId	86	Vĩnh Long	
provinceId	87	Đồng Tháp	
provinceId	89	An Giang	
provinceId	91	Kiên Giang	
provinceId	92	Cần Thơ	
provinceId	93	Hậu Giang	
provinceId	94	Sóc Trăng	
provinceId	95	Bạc Liêu	
provinceId	96	Cà Mau	
